Serial Number,Product ID,Product Image (URL),SKU,Product Name,Brand,Version ,Short description,Description,Price,Product Type,Category,Compatible products titles,Data Sheet/User Guide
CARKANP40FOB,CARKANP40FOB,https://communitycontrols.com/kantech-cards-fobs/kantech-ioprox-access-fob/,,"Card, Kantech Secured Format ioProx P40 Key Tag  XSF/26-bit Wiegand",Kantech,,"Card, Kantech Secured Format ioProx P40 Key Tag  XSF/26-bit Wiegand Sold in multiples of 25 P/N","Card, Kantech Secured Format ioProx P40 Key Tag  XSF/26-bit Wiegand Sold in multiples of 25",$6.10,Card,,Kantech ioProx Only,
CARFOBLEATHER-BLANK,CARFOBLEATHER-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-hid-compatible-leather-fob/,,Community Controls Leather Key Fob with White Stitching - HID or EM Format,Community Controls,,Community Controls Leather Key Fob with White Stitching - HID or EM Format - Additional Print/Programming Line Required,Community Controls Leather Key Fob with White Stitching - HID or EM Format - Additional Print/Programming Line Required,$5.74,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
PW-AWID-0-0,PW-AWID-0-0,Not on Website,,AWID Mini Adhesive Prox Coil with Awid logo,AWID,,AWID Mini Adhesive Prox Coil with Awid logo,AWID Mini Adhesive Prox Coil with Awid logo,$4.23,Coil,,"AWID Access Cards, AWID Key Fob",
CARFOBMANBLU,CARFOBMANBLU,https://communitycontrols.com/mango-cards-fobs-2/mango-hid-compatible-fob/,,Community Controls Mango Blue Key Fob - HID or EM Format,Community Controls,,Community Controls Mango Blue Key Fob - HID or EM Format,Community Controls Mango Blue Key Fob - HID or EM Format,$3.61,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
CARSECRKKT02-BLANK,CARSECRKKT02-BLANK,Not on Website,,"Card, SecuraKey Key Tags RKKT00 Uncoded",SecuraKey,,"Card, SecuraKey Key Tags RKKT00 Uncoded (Needs Programming FC & Numbers)","Card, SecuraKey Key Tags RKKT00 Uncoded (Needs Programming FC & Numbers)",$7.83,Fob,,"Securakey 02 Cards, RKMT Coil",
CARSECSKC06,CARSECSKC06,Not on Website,,Securakey Controlled Access Card - SKC-06 Format,SecuraKey,,Securakey Controlled Access Card - SKC-06 Format (Min 50),Securakey Controlled Access Card - SKC-06 Format (Min 50),$6.26,Card,,Securakey SKC06,
CARFOBIBF-120,CARFOBIBF-120,Not on Website,,Schlage iButton Controlled Access Fob - Combo Fob with Button and Door Coil - Blue - Stock #,Schlage,,Schlage iButton Controlled Access Fob - Combo Fob with Button and Door Coil - Blue - Stock # sold in quantities of 25 (custom order min 50),Schlage iButton Controlled Access Fob - Combo Fob with Button and Door Coil - Blue - Stock # sold in quantities of 25 (custom order min 50),$11.23,Fob,,No Compatible,
CARAWIDFOB-BLANK,CARAWIDFOB-BLANK,https://communitycontrols.com/awid-cards-fobs/awid-26-bit-fob/,,AWID Controlled Access Key Fob,AWID,,AWID Controlled Access Key Fob - Specific FC and Numbering Required,AWID Controlled Access Key Fob - Specific FC and Numbering Required,$6.09,Fob,,"AWID Key Fob, AWID Adhesive Coil",
CARRFLIDK50,CARRFLIDK50,https://communitycontrols.com/doorking-cards-fobs/doorking-1508-112-dks-50-access-fob/,,"Card, RF Logics IDK50 White Fob DoorKing 170 Compatible",Doorking,,"Card, RF Logics IDK50 White Fob DoorKing 170 Compatible","Card, RF Logics IDK50 White Fob DoorKing 170 Compatible",$4.94,Fob,,DKS 170 (Doorking 1508-110),
CARFOBTEARBLU-BLANK,CARFOBTEARBLU-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-tear-drop-fob/,,Community Controls Teardrop Blue Key Fob - HID or EM Format,Community Controls,,Community Controls Teardrop Blue Key Fob - HID or EM Format - Additional Print/Programming Line Required,Community Controls Teardrop Blue Key Fob - HID or EM Format - Additional Print/Programming Line Required,$4.12,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
CARFOBDK1508-123,CARFOBDK1508-123,https://communitycontrols.com/doorking-cards-fobs/doorking-1508-123-access-fob/,,"1508-123 Doorking DK Prox Card, Keyfob Factory Pre-Coded",Doorking,,"1508-123 Doorking DK Prox Card, Keyfob Factory Pre-Coded (Sets of 25)",1508-123 Doorking DK Prox Keyfob Factory Pre-Coded (Sets of 25),$6.20,Fob,,Doorking 1508-120 (DK Prox),
CARFOBTRANBLU-BLANK,CARFOBTRANBLU-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-translucent-fob/,,"Card, Translucent Keyfob Blue.",Community Controls,,"Card, Translucent Keyfob Blue.","Card, Translucent Keyfob Blue.",$4.12,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
RKMT-COIL,RKMT-COIL,Not on Website,,"Securakey LF Coils, RKMT-W0 Transponder",SecuraKey,,"Securakey LF Coils, RKMT-W0 Transponder, Mini, /watermark, Unprogrammed Unmarked Door Access Chip","Securakey LF Coils, RKMT-W0 Transponder, Mini, /watermark, Unprogrammed Unmarked Door Access Chip",$2.66,Coil,,Securakey 02 Cards,
CARFOBSLIM-BLU-BLANK,CARFOBSLIM-BLU-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-hid-compatible-slim-fob/,,Community Controls Slim Controlled Access Key Fob - Blue - HID or EM Format,Community Controls,,Community Controls Slim Controlled Access Key Fob - Blue - HID or EM Format - Additional Print/Programming Line Required,Community Controls Slim Controlled Access Key Fob - Blue - HID or EM Format - Additional Print/Programming Line Required,$4.50,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
